"Age","BusinessTravel","DailyRate","Department","DistanceFromHome","Education","EducationField","EmployeeNumber","EnvironmentSatisfaction","Gender","HourlyRate","JobInvolvement","JobLevel","JobRole","JobSatisfaction","MaritalStatus","MonthlyIncome","MonthlyRate","NumCompaniesWorked","OverTime","PercentSalaryHike","PerformanceRating","RelationshipSatisfaction","StockOptionLevel","TotalWorkingYears","TrainingTimesLastYear","WorkLifeBalance","YearsAtCompany","YearsInCurrentRole","YearsSinceLastPromotion","YearsWithCurrManager","EmployeeFeedback"
"23","Travel_Rarely","420","Research & Development","5","1","Life Sciences","1001","2","Male","35","3","1","Software Engineer","1","Single","2800","3000","0","Yes","11","3","4","0","1","0","2","1","0","0","1","Needs better growth opportunities."
"24","Travel_Frequently","457","Sales","12","2","Medical","1002","3","Female","40","4","2","Data Analyst","2","Married","4235","3421","1","No","12","3","1","1","3","1","3","3","1","1","2","Satisfied with current team and role."
"25","Non-Travel","494","Human Resources","24","3","Marketing","1003","4","Male","45","1","3","Sales Executive","3","Divorced","6170","3842","2","No","13","4","2","2","5","2","4","5","2","2","3","Workload has been high recently."
"26","Travel_Rarely","531","Research & Development","8","4","Technical Degree","1004","1","Female","50","2","4","Research Scientist","4","Single","3605","4263","3","No","14","2","3","3","7","3","1","2","2","3","2","Interested in flexible work options."
"27","Travel_Frequently","568","Sales","31","5","Human Resources","1005","2","Male","55","3","5","Human Resources","2","Married","3040","4684","4","Yes","15","3","4","0","9","4","2","8","4","4","5","Compensation expectations should be reviewed."
"28","Non-Travel","605","Human Resources","16","1","Other","1006","3","Female","60","4","1","Manager","3","Divorced","7775","5105","5","No","16","4","1","1","11","5","3","10","5","0","6","Strong performer with retention potential."
"29","Travel_Rarely","642","Research & Development","22","2","Life Sciences","1007","4","Male","65","1","2","Quality Assurance Engineer","1","Single","5310","5526","6","No","17","3","2","2","13","0","4","4","0","1","0","Commute is becoming difficult."
"30","Travel_Frequently","679","Sales","4","3","Medical","1008","1","Female","70","2","3","Laboratory Technician","4","Married","3545","5947","0","Yes","18","3","3","3","15","1","1","6","1","2","1","Needs more recognition from management."
"31","Non-Travel","716","Human Resources","18","4","Marketing","1009","2","Male","75","3","4","Software Engineer","3","Divorced","7080","6368","1","Yes","19","2","4","0","17","2","2","7","2","3","2","Needs better growth opportunities."
"32","Travel_Rarely","753","Research & Development","27","5","Technical Degree","1010","3","Female","80","4","5","Data Analyst","2","Single","4815","6789","2","No","20","4","1","1","19","3","3","9","3","4","3","Satisfied with current team and role."
"33","Travel_Frequently","790","Sales","5","1","Human Resources","1011","4","Male","85","1","1","Sales Executive","1","Married","3150","7210","3","No","21","3","2","2","21","4","4","1","1","0","1","Workload has been high recently."
"34","Non-Travel","827","Human Resources","12","2","Other","1012","1","Female","90","2","2","Research Scientist","2","Divorced","4585","7631","4","No","22","3","3","3","23","5","1","3","3","1","3","Interested in flexible work options."
"35","Travel_Rarely","864","Research & Development","24","3","Life Sciences","1013","2","Male","35","3","3","Human Resources","3","Single","6520","8052","5","Yes","23","4","4","0","1","0","2","5","0","2","5","Compensation expectations should be reviewed."
"36","Travel_Frequently","901","Sales","8","4","Medical","1014","3","Female","40","4","4","Manager","4","Married","3955","8473","6","No","24","2","1","1","3","1","3","2","1","3","0","Strong performer with retention potential."
"37","Non-Travel","938","Human Resources","31","5","Marketing","1015","4","Male","45","1","5","Quality Assurance Engineer","2","Divorced","3390","8894","0","Yes","11","3","2","2","5","2","4","8","2","4","1","Commute is becoming difficult."
"38","Travel_Rarely","975","Research & Development","16","1","Technical Degree","1016","1","Female","50","2","1","Laboratory Technician","3","Single","8125","9315","1","No","12","4","3","3","7","3","1","10","3","0","2","Needs more recognition from management."
"39","Travel_Frequently","1012","Sales","22","2","Human Resources","1017","2","Male","55","3","2","Software Engineer","1","Married","5660","9736","2","Yes","13","3","4","0","9","4","2","4","4","1","3","Needs better growth opportunities."
"40","Non-Travel","1049","Human Resources","4","3","Other","1018","3","Female","60","4","3","Data Analyst","4","Divorced","3895","10157","3","No","14","3","1","1","11","5","3","6","5","2","4","Satisfied with current team and role."
"41","Travel_Rarely","1086","Research & Development","18","4","Life Sciences","1019","4","Male","65","1","4","Sales Executive","3","Single","7430","10578","4","No","15","2","2","2","13","0","4","7","0","3","5","Workload has been high recently."
"42","Travel_Frequently","1123","Sales","27","5","Medical","1020","1","Female","70","2","5","Research Scientist","2","Married","5165","10999","5","No","16","4","3","3","15","1","1","9","1","4","6","Interested in flexible work options."
"43","Non-Travel","1160","Human Resources","5","1","Marketing","1021","2","Male","75","3","1","Human Resources","1","Divorced","3500","11420","6","Yes","17","3","4","0","17","2","2","1","1","0","0","Compensation expectations should be reviewed."
"44","Travel_Rarely","1197","Research & Development","12","2","Technical Degree","1022","3","Female","80","4","2","Manager","2","Single","4935","11841","0","Yes","18","3","1","1","19","3","3","3","3","1","1","Strong performer with retention potential."
"45","Travel_Frequently","1234","Sales","24","3","Human Resources","1023","4","Male","85","1","3","Quality Assurance Engineer","3","Married","6870","12262","1","No","19","4","2","2","21","4","4","5","4","2","2","Commute is becoming difficult."
"46","Non-Travel","1271","Human Resources","8","4","Other","1024","1","Female","90","2","4","Laboratory Technician","4","Divorced","4305","12683","2","No","20","2","3","3","23","5","1","2","2","3","2","Needs more recognition from management."
"47","Travel_Rarely","1308","Research & Development","31","5","Life Sciences","1025","2","Male","35","3","5","Software Engineer","2","Single","3740","13104","3","Yes","21","3","4","0","1","0","2","8","0","4","4","Needs better growth opportunities."
"48","Travel_Frequently","1345","Sales","16","1","Medical","1026","3","Female","40","4","1","Data Analyst","3","Married","8475","13525","4","No","22","4","1","1","3","1","3","10","1","0","5","Satisfied with current team and role."
"49","Non-Travel","1382","Human Resources","22","2","Marketing","1027","4","Male","45","1","2","Sales Executive","1","Divorced","6010","13946","5","No","23","3","2","2","5","2","4","4","2","1","4","Workload has been high recently."
"50","Travel_Rarely","439","Research & Development","4","3","Technical Degree","1028","1","Female","50","2","3","Research Scientist","4","Single","4245","14367","6","No","24","3","3","3","7","3","1","6","3","2","0","Interested in flexible work options."
"51","Travel_Frequently","476","Sales","18","4","Human Resources","1029","2","Male","55","3","4","Human Resources","3","Married","7780","14788","0","Yes","11","2","4","0","9","4","2","7","4","3","1","Compensation expectations should be reviewed."
"52","Non-Travel","513","Human Resources","27","5","Other","1030","3","Female","60","4","5","Manager","2","Divorced","5515","15209","1","No","12","4","1","1","11","5","3","9","5","4","2","Strong performer with retention potential."
"53","Travel_Rarely","550","Research & Development","5","1","Life Sciences","1031","4","Male","65","1","1","Quality Assurance Engineer","1","Single","3850","15630","2","No","13","3","2","2","13","0","4","1","0","0","1","Commute is becoming difficult."
"54","Travel_Frequently","587","Sales","12","2","Medical","1032","1","Female","70","2","2","Laboratory Technician","2","Married","5285","16051","3","No","14","3","3","3","15","1","1","3","1","1","3","Needs more recognition from management."
"55","Non-Travel","624","Human Resources","24","3","Marketing","1033","2","Male","75","3","3","Software Engineer","3","Divorced","7220","16472","4","Yes","15","4","4","0","17","2","2","5","2","2","5","Needs better growth opportunities."
"56","Travel_Rarely","661","Research & Development","8","4","Technical Degree","1034","3","Female","80","4","4","Data Analyst","4","Single","4655","16893","5","No","16","2","1","1","19","3","3","2","2","3","2","Satisfied with current team and role."
"23","Travel_Frequently","698","Sales","31","5","Human Resources","1035","4","Male","85","1","5","Sales Executive","2","Married","4090","17314","6","No","17","3","2","2","21","4","4","8","4","4","0","Workload has been high recently."
"24","Non-Travel","735","Human Resources","16","1","Other","1036","1","Female","90","2","1","Research Scientist","3","Divorced","8825","17735","0","Yes","18","4","3","3","23","5","1","10","5","0","1","Interested in flexible work options."
"25","Travel_Rarely","772","Research & Development","22","2","Life Sciences","1037","2","Male","35","3","2","Human Resources","1","Single","6360","18156","1","Yes","19","3","4","0","1","0","2","4","0","1","2","Compensation expectations should be reviewed."
"26","Travel_Frequently","809","Sales","4","3","Medical","1038","3","Female","40","4","3","Manager","4","Married","4595","18577","2","No","20","3","1","1","3","1","3","6","1","2","3","Strong performer with retention potential."
"27","Non-Travel","846","Human Resources","18","4","Marketing","1039","4","Male","45","1","4","Quality Assurance Engineer","3","Divorced","8130","18998","3","No","21","2","2","2","5","2","4","7","2","3","4","Commute is becoming difficult."
